h0,h1,h2,h3,h4,Final Score
8,9,11,10,2,104074.0
8,9,11,10,7,119332.0
8,9,11,10,6,137052.0
8,9,11,10,3,134481.0
8,9,11,0,4,59017.0
8,9,11,0,0,135605.0
8,9,11,0,1,72365.0
8,9,11,0,6,128278.0
8,9,11,1,6,75083.0
8,9,11,1,4,35949.0
8,9,11,1,10,76774.0
8,9,11,1,9,76774.0
8,9,11,3,2,102763.0
8,9,11,3,9,135683.0
8,9,11,3,11,142478.0
8,9,11,3,4,62929.0
8,9,10,3,6,124562.0
8,9,10,3,8,134559.0
8,9,10,3,5,132120.0
8,9,10,3,2,104509.0
8,9,10,10,0,136440.0
8,9,10,10,4,52468.0
8,9,10,10,6,130477.0
8,9,10,10,2,109240.0
8,9,10,7,9,111578.0
8,9,10,7,0,111371.0
8,9,10,7,3,110200.0
8,9,10,7,2,81488.0
8,9,10,8,3,134234.0
8,9,10,8,5,134319.0
8,9,10,8,7,109215.0
8,9,10,8,0,136440.0
8,9,5,2,8,105922.0
8,9,5,2,10,105922.0
8,9,5,2,6,100357.0
8,9,5,2,5,104277.0
8,9,5,11,7,117225.0
8,9,5,11,0,133598.0
8,9,5,11,5,139898.0
8,9,5,11,9,142029.0
8,9,5,8,4,59710.0
8,9,5,8,5,133838.0
8,9,5,8,7,114439.0
8,9,5,8,2,104422.0
8,9,5,3,9,132253.0
8,9,5,3,4,60121.0
8,9,5,3,3,129562.0
8,9,5,3,11,138461.0
8,9,0,1,10,73270.0
8,9,0,1,0,70505.0
8,9,0,1,5,71972.0
8,9,0,1,4,32792.0
8,9,0,2,8,106240.0
8,9,0,2,11,114659.0
8,9,0,2,0,100798.0
8,9,0,2,1,75908.0
8,9,0,10,4,58264.0
8,9,0,10,9,136440.0
8,9,0,10,8,136440.0
8,9,0,10,0,136440.0
8,9,0,11,4,65746.0
8,9,0,11,0,136544.0
8,9,0,11,10,146657.0
8,9,0,11,7,117763.0
8,1,1,1,2,72160.0
8,1,1,1,10,73740.0
8,1,1,1,8,73740.0
8,1,1,1,5,73029.0
8,1,1,0,9,70791.0
8,1,1,0,8,70791.0
8,1,1,0,0,70791.0
8,1,1,0,6,66273.0
8,1,1,8,10,73740.0
8,1,1,8,7,63776.0
8,1,1,8,4,40086.0
8,1,1,8,3,71229.0
8,1,1,3,0,69894.0
8,1,1,3,5,69376.0
8,1,1,3,3,69484.0
8,1,1,3,10,71015.0
8,1,10,7,9,63962.0
8,1,10,7,0,61200.0
8,1,10,7,11,72375.0
8,1,10,7,2,56222.0
8,1,10,6,9,72281.0
8,1,10,6,11,78701.0
8,1,10,6,7,61214.0
8,1,10,6,5,70666.0
8,1,10,1,5,71736.0
8,1,10,1,6,71304.0
8,1,10,1,11,81256.0
8,1,10,1,10,73740.0
8,1,10,5,6,69424.0
8,1,10,5,10,72987.0
8,1,10,5,1,72473.0
8,1,10,5,4,33139.0
8,1,11,5,6,74338.0
8,1,11,5,5,76587.0
8,1,11,5,4,30051.0
8,1,11,5,2,73672.0
8,1,11,10,1,79126.0
8,1,11,10,8,80462.0
8,1,11,10,6,75487.0
8,1,11,10,11,85974.0
8,1,11,8,4,44456.0
8,1,11,8,8,80462.0
8,1,11,8,9,80462.0
8,1,11,8,0,71792.0
8,1,11,9,1,79030.0
8,1,11,9,4,34382.0
8,1,11,9,9,80462.0
8,1,11,9,0,71790.0
8,1,3,11,10,78039.0
8,1,3,11,5,76455.0
8,1,3,11,9,78039.0
8,1,3,11,1,74833.0
8,1,3,4,4,16179.0
8,1,3,4,11,41607.0
8,1,3,4,0,33864.0
8,1,3,4,7,32255.0
8,1,3,6,7,60492.0
8,1,3,6,9,68222.0
8,1,3,6,5,67514.0
8,1,3,6,2,65632.0
8,1,3,2,3,67548.0
8,1,3,2,8,69264.0
8,1,3,2,4,28940.0
8,1,3,2,11,73365.0
8,4,9,3,2,48302.0
8,4,9,3,0,75068.0
8,4,9,3,5,72023.0
8,4,9,3,7,63421.0
8,4,9,0,9,77280.0
8,4,9,0,5,75424.0
8,4,9,0,6,74226.0
8,4,9,0,7,56871.0
8,4,9,4,10,36835.0
8,4,9,4,8,36835.0
8,4,9,4,3,33581.0
8,4,9,4,0,36597.0
8,4,9,10,2,50004.0
8,4,9,10,8,77514.0
8,4,9,10,7,60822.0
8,4,9,10,11,81130.0
8,4,5,3,3,70699.0
8,4,5,3,7,65861.0
8,4,5,3,1,47578.0
8,4,5,3,4,34629.0
8,4,5,8,8,74289.0
8,4,5,8,5,71659.0
8,4,5,8,9,74289.0
8,4,5,8,11,81724.0
8,4,5,0,2,46724.0
8,4,5,0,0,74084.0
8,4,5,0,9,74084.0
8,4,5,0,8,74084.0
8,4,5,11,3,75416.0
8,4,5,11,6,82990.0
8,4,5,11,1,53354.0
8,4,5,11,11,90837.0
8,4,4,10,10,26168.0
8,4,4,10,5,26167.0
8,4,4,10,1,21034.0
8,4,4,10,8,26168.0
8,4,4,11,11,43244.0
8,4,4,11,4,24320.0
8,4,4,11,2,24449.0
8,4,4,11,1,30469.0
8,4,4,5,2,17907.0
8,4,4,5,7,24046.0
8,4,4,5,0,25942.0
8,4,4,5,9,26167.0
8,4,4,1,6,21185.0
8,4,4,1,2,16932.0
8,4,4,1,4,15145.0
8,4,4,1,9,21182.0
8,4,10,9,0,77282.0
8,4,10,9,6,74829.0
8,4,10,9,7,65471.0
8,4,10,9,3,75592.0
8,4,10,2,0,47693.0
8,4,10,2,9,51434.0
8,4,10,2,2,51434.0
8,4,10,2,11,59841.0
8,4,10,5,3,75388.0
8,4,10,5,7,51153.0
8,4,10,5,9,77514.0
8,4,10,5,6,73216.0
8,4,10,0,4,35540.0
8,4,10,0,0,77275.0
8,4,10,0,3,74721.0
8,4,10,0,5,74671.0
8,2,0,2,9,102177.0
8,2,0,2,7,88682.0
8,2,0,2,8,102177.0
8,2,0,2,3,100570.0
8,2,0,6,10,98120.0
8,2,0,6,5,96072.0
8,2,0,6,6,90927.0
8,2,0,6,0,97882.0
8,2,0,11,11,113665.0
8,2,0,11,5,107640.0
8,2,0,11,2,99972.0
8,2,0,11,7,89347.0
8,2,0,7,2,82274.0
8,2,0,7,9,88804.0
8,2,0,7,1,61294.0
8,2,0,7,11,97124.0
8,2,5,5,9,104694.0
8,2,5,5,1,73554.0
8,2,5,5,0,99076.0
8,2,5,5,6,100539.0
8,2,5,10,5,105937.0
8,2,5,10,8,107283.0
8,2,5,10,10,107283.0
8,2,5,10,7,90226.0
8,2,5,8,5,105355.0
8,2,5,8,8,107283.0
8,2,5,8,1,75151.0
8,2,5,8,0,101709.0
8,2,5,4,0,43439.0
8,2,5,4,4,23296.0
8,2,5,4,9,45612.0
8,2,5,4,1,32782.0
8,2,8,1,11,82938.0
8,2,8,1,4,37768.0
8,2,8,1,0,68812.0
8,2,8,1,6,72286.0
8,2,8,4,1,39006.0
8,2,8,4,9,54222.0
8,2,8,4,3,51844.0
8,2,8,4,8,54222.0
8,2,8,0,1,72215.0
8,2,8,0,8,102825.0
8,2,8,0,11,111548.0
8,2,8,0,7,79479.0
8,2,8,3,5,103435.0
8,2,8,3,1,73203.0
8,2,8,3,0,99728.0
8,2,8,3,10,104327.0
8,2,6,8,10,104792.0
8,2,6,8,5,103175.0
8,2,6,8,6,100279.0
8,2,6,8,3,100045.0
8,2,6,3,7,84131.0
8,2,6,3,10,100802.0
8,2,6,3,6,95459.0
8,2,6,3,9,100802.0
8,2,6,11,6,105234.0
8,2,6,11,11,120942.0
8,2,6,11,3,104424.0
8,2,6,11,8,109719.0
8,2,6,4,1,37949.0
8,2,6,4,5,51771.0
8,2,6,4,3,50192.0
8,2,6,4,9,53451.0
5,0,7,7,4,37415.0
5,0,7,7,0,91291.0
5,0,7,7,7,76328.0
5,0,7,7,1,52115.0
5,0,7,9,7,86869.0
5,0,7,9,1,58555.0
5,0,7,9,6,104222.0
5,0,7,9,9,108315.0
5,0,7,1,7,52809.0
5,0,7,1,6,56305.0
5,0,7,1,10,59225.0
5,0,7,1,5,58547.0
5,0,7,6,3,96943.0
5,0,7,6,2,72255.0
5,0,7,6,6,96439.0
5,0,7,6,1,55449.0
5,0,11,3,7,109052.0
5,0,11,3,0,130253.0
5,0,11,3,3,127361.0
5,0,11,3,11,137618.0
5,0,11,0,1,71283.0
5,0,11,0,5,130595.0
5,0,11,0,11,141678.0
5,0,11,0,3,129332.0
5,0,11,6,3,126501.0
5,0,11,6,9,131367.0
5,0,11,6,6,126106.0
5,0,11,6,1,69523.0
5,0,11,4,5,61312.0
5,0,11,4,3,57503.0
5,0,11,4,6,57840.0
5,0,11,4,0,58760.0
5,0,10,1,4,35505.0
5,0,10,1,10,71406.0
5,0,10,1,6,68005.0
5,0,10,1,2,68556.0
5,0,10,0,6,125987.0
5,0,10,0,2,102632.0
5,0,10,0,0,133702.0
5,0,10,0,11,140532.0
5,0,10,4,5,54726.0
5,0,10,4,11,64256.0
5,0,10,4,10,54731.0
5,0,10,4,2,32771.0
5,0,10,8,6,126383.0
5,0,10,8,4,55941.0
5,0,10,8,8,133702.0
5,0,10,8,2,102732.0
5,0,9,10,7,118280.0
5,0,9,10,10,133702.0
5,0,9,10,0,133702.0
5,0,9,10,1,72358.0
5,0,9,3,5,127052.0
5,0,9,3,3,126134.0
5,0,9,3,2,99832.0
5,0,9,3,11,132872.0
5,0,9,2,3,100389.0
5,0,9,2,0,96140.0
5,0,9,2,7,84501.0
5,0,9,2,9,103522.0
5,0,9,7,2,72165.0
5,0,9,7,6,99500.0
5,0,9,7,5,105795.0
5,0,9,7,4,59213.0
5,1,10,11,5,76155.0
5,1,10,11,1,74719.0
5,1,10,11,10,77349.0
5,1,10,11,11,85417.0
5,1,10,0,7,57070.0
5,1,10,0,0,69694.0
5,1,10,0,8,69694.0
5,1,10,0,3,67883.0
5,1,10,4,4,21977.0
5,1,10,4,8,33542.0
5,1,10,4,11,40975.0
5,1,10,4,1,33334.0
5,1,10,8,2,69525.0
5,1,10,8,9,71435.0
5,1,10,8,6,67852.0
5,1,10,8,7,59709.0
5,1,11,6,8,77883.0
5,1,11,6,0,68726.0
5,1,11,6,10,77883.0
5,1,11,6,3,68995.0
5,1,11,9,7,66776.0
5,1,11,9,3,71652.0
5,1,11,9,9,80561.0
5,1,11,9,5,79732.0
5,1,11,3,1,69909.0
5,1,11,3,7,62341.0
5,1,11,3,3,69482.0
5,1,11,3,0,69634.0
5,1,11,7,10,70489.0
5,1,11,7,11,77405.0
5,1,11,7,2,58649.0
5,1,11,7,3,60882.0
5,1,5,9,1,70529.0
5,1,5,9,7,59182.0
5,1,5,9,10,70537.0
5,1,5,9,2,67347.0
5,1,5,5,9,69594.0
5,1,5,5,2,66004.0
5,1,5,5,10,69594.0
5,1,5,5,8,69594.0
5,1,5,2,4,36237.0
5,1,5,2,1,65523.0
5,1,5,2,2,67557.0
5,1,5,2,6,64709.0
5,1,5,8,7,57063.0
5,1,5,8,4,33718.0
5,1,5,8,2,67427.0
5,1,5,8,5,69525.0
5,1,7,1,0,56502.0
5,1,7,1,3,55333.0
5,1,7,1,5,56002.0
5,1,7,1,11,64440.0
5,1,7,5,1,56374.0
5,1,7,5,5,56694.0
5,1,7,5,9,56694.0
5,1,7,5,11,64407.0
5,1,7,11,5,67835.0
5,1,7,11,10,67840.0
5,1,7,11,9,67840.0
5,1,7,11,6,63227.0
5,1,7,10,11,64335.0
5,1,7,10,4,24407.0
5,1,7,10,2,51597.0
5,1,7,10,8,57317.0
5,9,4,10,7,53755.0
5,9,4,10,8,63006.0
5,9,4,10,3,61357.0
5,9,4,10,0,62592.0
5,9,4,8,1,40274.0
5,9,4,8,3,61430.0
5,9,4,8,4,26121.0
5,9,4,8,5,60975.0
5,9,4,4,9,23856.0
5,9,4,4,6,23868.0
5,9,4,4,1,17950.0
5,9,4,4,4,13986.0
5,9,4,5,11,70822.0
5,9,4,5,6,61103.0
5,9,4,5,9,63001.0
5,9,4,5,8,63001.0
5,9,11,7,6,113520.0
5,9,11,7,9,115869.0
5,9,11,7,11,122682.0
5,9,11,7,3,112216.0
5,9,11,5,7,110677.0
5,9,11,5,10,136892.0
5,9,11,5,8,136892.0
5,9,11,5,6,130326.0
5,9,11,2,11,111715.0
5,9,11,2,4,45635.0
5,9,11,2,6,97995.0
5,9,11,2,0,97248.0
5,9,11,9,0,133620.0
5,9,11,9,8,139787.0
5,9,11,9,7,109597.0
5,9,11,9,3,134488.0
5,9,3,5,3,123769.0
5,9,3,5,10,126299.0
5,9,3,5,1,70205.0
5,9,3,5,7,107920.0
5,9,3,9,0,130533.0
5,9,3,9,5,128580.0
5,9,3,9,8,130702.0
5,9,3,9,11,137797.0
5,9,3,4,3,55159.0
5,9,3,4,9,56916.0
5,9,3,4,5,55059.0
5,9,3,4,1,36904.0
5,9,3,11,2,99253.0
5,9,3,11,6,130347.0
5,9,3,11,0,129967.0
5,9,3,11,7,116534.0
5,9,2,10,8,105869.0
5,9,2,10,3,101466.0
5,9,2,10,6,103012.0
5,9,2,10,0,99558.0
5,9,2,7,6,80233.0
5,9,2,7,3,81947.0
5,9,2,7,10,85109.0
5,9,2,7,1,55895.0
5,9,2,3,9,103991.0
5,9,2,3,0,99034.0
5,9,2,3,5,102626.0
5,9,2,3,8,103991.0
5,9,2,2,5,103991.0
5,9,2,2,3,102411.0
5,9,2,2,11,112051.0
5,9,2,2,1,70951.0
5,3,4,0,9,58202.0
5,3,4,0,1,36614.0
5,3,4,0,0,58202.0
5,3,4,0,11,65441.0
5,3,4,11,8,65874.0
5,3,4,11,5,64431.0
5,3,4,11,0,58818.0
5,3,4,11,4,29783.0
5,3,4,5,10,59420.0
5,3,4,5,8,59420.0
5,3,4,5,0,58204.0
5,3,4,5,1,37758.0
